Fname,Lname,University,Dept,PhD,href
Nidhi,Agrawal,University of Washington,Business,New York University ,http://foster.uw.edu/faculty-research/directory/nidhi-agrawal/
Bruce,Avolio,University of Washington,Business,University of Akron ,http://foster.uw.edu/faculty-research/directory/bruce-avolio/
Christopher,M. Barnes,University of Washington,Business,Michigan State University ,http://foster.uw.edu/faculty-research/directory/christopher-barnes/
Leta,Beard,University of Washington,Business,University of Washington ,http://foster.uw.edu/faculty-research/directory/leta-beard/
Tod,Bergstrom,University of Washington,Business,University of Washington ,http://foster.uw.edu/faculty-research/directory/tod-bergstrom/
Gregory,Bigley,University of Washington,Business,"University of California, Irvine ",http://foster.uw.edu/faculty-research/directory/gregory-bigley/
Terrence,Blackburne,University of Washington,Business,University of Pennsylvania ,http://foster.uw.edu/faculty-research/directory/terrence-blackburne/
Warren,Boeker,University of Washington,Business,"University of California, Berkeley ",http://foster.uw.edu/faculty-research/directory/warren-boeker/
Phillip,Bond,University of Washington,Business,University of Chicago ,http://foster.uw.edu/faculty-research/directory/phillip-bond/
Abhishek,Borah,University of Washington,Business,University of Southern California ,http://foster.uw.edu/faculty-research/directory/abhishek-borah/
Andy,Boyer,University of Washington,Business,no PhD ,http://foster.uw.edu/faculty-research/directory/andy-boyer/
William,Bradford,University of Washington,Business,Ohio State University ,http://foster.uw.edu/faculty-research/directory/william-bradford/
Jonathan,Brogaard,University of Washington,Business,Northwestern University ,http://foster.uw.edu/faculty-research/directory/jonathan-brogaard/
Vernon,Buck,University of Washington,Business,Cornell University ,http://foster.uw.edu/faculty-research/directory/vernon-buck/
David,Burgstahler,University of Washington,Business,University of Iowa ,http://foster.uw.edu/faculty-research/directory/david-burgstahler/
William,Burrows,University of Washington,Business,no PhD ,http://foster.uw.edu/faculty-research/directory/william-burrows/
Rick,Carter,University of Washington,Business,Washington State University ,http://foster.uw.edu/faculty-research/directory/rick-carter/
Xiao-Ping,Chen,University of Washington,Business,University of Illinois at Urbana-Champaign ,http://foster.uw.edu/faculty-research/directory/xiao-ping-chen/
Shi,Chen,University of Washington,Business,Stanford University ,http://foster.uw.edu/faculty-research/directory/shi-chen/
Emily,Pahnke,University of Washington,Business,Stanford University ,http://foster.uw.edu/faculty-research/directory/emily-cox-pahnke/
Asher,Curtis,University of Washington,Business,University of New South Wales ,http://foster.uw.edu/faculty-research/directory/asher-curtis/
Robert,Dawson,University of Washington,Business,Willamette University ,http://foster.uw.edu/faculty-research/directory/robert-dawson/
Peter,Demerjian,University of Washington,Business,University of Michigan ,http://foster.uw.edu/faculty-research/directory/peter-demerjian/
Kathryn,Dewenter,University of Washington,Business,University of Chicago ,http://foster.uw.edu/faculty-research/directory/kathryn-dewenter/
Michael,Dimeo,University of Washington,Business,Kansas State University ,http://foster.uw.edu/faculty-research/directory/michael-dimeo/
Emer,Dooley,University of Washington,Business,University of Washington ,http://foster.uw.edu/faculty-research/directory/emer-dooley/
Ran,Duchin,University of Washington,Business,University of Southern California ,http://foster.uw.edu/faculty-research/directory/ran-duchin/
Pete,Dukes,University of Washington,Business,Stanford University ,http://foster.uw.edu/faculty-research/directory/pete-dukes/
Lea,Dunn,University of Washington,Business,The University of British Columbia ,http://foster.uw.edu/faculty-research/directory/lea-dunn/
Thomas,Eckmann,University of Washington,Business,"University of California, Berkeley ",http://foster.uw.edu/faculty-research/directory/thomas-eckmann/
Michael,Eguchi,University of Washington,Business,Seattle University ,http://foster.uw.edu/faculty-research/directory/michael-eguchi/
Gary,Erickson,University of Washington,Business,Stanford University ,http://foster.uw.edu/faculty-research/directory/gary-erickson/
Bruce,Faaland,University of Washington,Business,Stanford University ,http://foster.uw.edu/faculty-research/directory/bruce-faaland/
Ming,Fan,University of Washington,Business,University of Texas ,http://foster.uw.edu/faculty-research/directory/ming-fan/
Ryan,Fehr,University of Washington,Business,"University of Maryland, College Park ",http://foster.uw.edu/faculty-research/directory/ryan-fehr/
Russell,Fish,University of Washington,Business,University of Washington ,http://foster.uw.edu/faculty-research/directory/russell-fish/
Christina,Ting Fong,University of Washington,Business,Stanford University ,http://foster.uw.edu/faculty-research/directory/christina-ting-fong/
Mark,Forehand,University of Washington,Business,Stanford University ,http://foster.uw.edu/faculty-research/directory/mark-forehand/
Sean,Freyholtz,University of Washington,Business,University of Washington ,http://foster.uw.edu/faculty-research/directory/sean-freyholtz/
Peter,Frost,University of Washington,Business,"University of California, Los Angeles ",http://foster.uw.edu/faculty-research/directory/peter-frost/
Weili,Ge,University of Washington,Business,University of Michigan ,http://foster.uw.edu/faculty-research/directory/weili-ge/
Mike,Giambattista,University of Washington,Business,Harvard University ,http://foster.uw.edu/faculty-research/directory/mike-giambattista/
Thomas,Gilbert,University of Washington,Business,"University of California, Berkeley ",http://foster.uw.edu/faculty-research/directory/thomas-gilbert/
James,Gillick,University of Washington,Business,New York University ,http://foster.uw.edu/faculty-research/directory/james-gillick/
Tom,Giordano,University of Washington,Business,University of Florida ,http://foster.uw.edu/faculty-research/directory/tom-giordano/
Debra,Glassman,University of Washington,Business,University of Wisconsin ,http://foster.uw.edu/faculty-research/directory/debra-glassman/
Charles,Haley,University of Washington,Business,Stanford University ,http://foster.uw.edu/faculty-research/directory/charles-haley/
Benjamin,Hallen,University of Washington,Business,Stanford University ,http://foster.uw.edu/faculty-research/directory/benjamin-hallen/
Jarrad,Harford,University of Washington,Business,University of Rochester ,http://foster.uw.edu/faculty-research/directory/jarrad-harford/
Alan,Hess,University of Washington,Business,Carnegie-Mellon University ,http://foster.uw.edu/faculty-research/directory/alan-hess/
Robert,Higgins,University of Washington,Business,Stanford University ,http://foster.uw.edu/faculty-research/directory/robert-higgins/
Charles,Hill,University of Washington,Business,University of Manchester ,http://foster.uw.edu/faculty-research/directory/charles-hill/
Mark,Hillier,University of Washington,Business,Stanford University ,http://foster.uw.edu/faculty-research/directory/mark-hillier/
Lee,Hochberg,University of Washington,Business,Stanford University ,http://foster.uw.edu/faculty-research/directory/lee-hochberg/
Frank,Hodge,University of Washington,Business,Indiana University ,http://foster.uw.edu/faculty-research/directory/frank-hodge/
Christopher,Hrdlicka,University of Washington,Business,University of Chicago ,http://foster.uw.edu/faculty-research/directory/christopher-hrdlicka/
Vandra,Huber,University of Washington,Business,Indiana University ,http://foster.uw.edu/faculty-research/directory/vandra-huber/
Ruth,Huwe,University of Washington,Business,University of Washington ,http://foster.uw.edu/faculty-research/directory/ruth-huwe/
Foad,Iravani,University of Washington,Business,"University of California, Los Angeles ",http://foster.uw.edu/faculty-research/directory/foad-iravani/
Apurva,Jain,University of Washington,Business,Purdue University ,http://foster.uw.edu/faculty-research/directory/apurva-jain/
Shailendra,Jain,University of Washington,Business,New York University ,http://foster.uw.edu/faculty-research/directory/shailendra-pratap-jain/
Jim,Jiambalvo,University of Washington,Business,Ohio State University ,http://foster.uw.edu/faculty-research/directory/jim-jiambalvo/
Michael,Johnson,University of Washington,Business,Michigan State University ,http://foster.uw.edu/faculty-research/directory/michael-johnson/
Thomas,Jones,University of Washington,Business,"University of California, Berkeley ",http://foster.uw.edu/faculty-research/directory/thomas-jones/
Hugh,Judd,University of Washington,Business,Stanford University ,http://foster.uw.edu/faculty-research/directory/hugh-judd/
Judith,Kalitzki,University of Washington,Business,University of Washington ,http://foster.uw.edu/faculty-research/directory/judith-ann-kalitzki/
Avraham,Kamara,University of Washington,Business,Columbia University ,http://foster.uw.edu/faculty-research/directory/avraham-kamara/
Jonathan,Karpoff,University of Washington,Business,"University of California, Los Angeles ",http://foster.uw.edu/faculty-research/directory/jonathan-karpoff/
Philip,Kienast,University of Washington,Business,Michigan State University ,http://foster.uw.edu/faculty-research/directory/philip-kienast/
Theodore,Klastorin,University of Washington,Business,University of Texas ,http://foster.uw.edu/faculty-research/directory/theodore-klastorin/
Jennifer,Koski,University of Washington,Business,Stanford University ,http://foster.uw.edu/faculty-research/directory/jennifer-koski/
Suresh,Kotha,University of Washington,Business,Rensselaer Polytechnic Institute ,http://foster.uw.edu/faculty-research/directory/suresh-kotha/
Thomas,Lee,University of Washington,Business,University of Oregon ,http://foster.uw.edu/faculty-research/directory/thomas-lee/
Douglas,MacLachlan,University of Washington,Business,"University of California, Berkeley ",http://foster.uw.edu/faculty-research/directory/douglas-maclachlan/
Paul,Malatesta,University of Washington,Business,University of Rochester ,http://foster.uw.edu/faculty-research/directory/paul-malatesta/
Frances,Maloy,University of Washington,Business,University of Washington ,http://foster.uw.edu/faculty-research/directory/frances-maloy/
Hamed,Mamani,University of Washington,Business,Massachusetts Institute of Technology ,http://foster.uw.edu/faculty-research/directory/hamed-mamani/
Dawn,Matsumoto,University of Washington,Business,University of Washington ,http://foster.uw.edu/faculty-research/directory/dawn-matsumoto/
Martha,Matthews,University of Washington,Business,University of North Carolina at Chapel Hill ,http://foster.uw.edu/faculty-research/directory/martha-matthews/
Richard,McPherson,University of Washington,Business,University of Denver ,http://foster.uw.edu/faculty-research/directory/richard-s-mcpherson/
Sarah,McVay,University of Washington,Business,University of Michigan ,http://foster.uw.edu/faculty-research/directory/sarah-mcvay/
Deborah,Medlar,University of Washington,Business,New York University ,http://foster.uw.edu/faculty-research/directory/deborah-medlar/
Terence,Mitchell,University of Washington,Business,University of Illinois at Urbana-Champaign ,http://foster.uw.edu/faculty-research/directory/terence-mitchell/
Natalie,Mizik,University of Washington,Business,University of Washington ,http://foster.uw.edu/faculty-research/directory/natalie-mizik/
Reza,Moinpour,University of Washington,Business,Ohio State University ,http://foster.uw.edu/faculty-research/directory/reza-moinpour/
Kamran,Moinzadeh,University of Washington,Business,Stanford University ,http://foster.uw.edu/faculty-research/directory/kamran-moinzadeh/
Alan,Muller,University of Washington,Business,Erasmus University ,http://foster.uw.edu/faculty-research/directory/alan-muller/
Kenneth,Myer,University of Washington,Business,Stanford University ,http://foster.uw.edu/faculty-research/directory/kenneth-myer/
John,Narver,University of Washington,Business,"University of California, Berkeley ",http://foster.uw.edu/faculty-research/directory/john-narver/
Robin,Nicklas,University of Washington,Business,University of Pittsburgh ,http://foster.uw.edu/faculty-research/directory/robin-nicklas/
Vitaly,Nishanov,University of Washington,Business,Ural State University ,http://foster.uw.edu/faculty-research/directory/vitaly-nishanov/
Richard,Nolan,University of Washington,Business,University of Washington ,http://foster.uw.edu/faculty-research/directory/richard-l-nolan/
Shaosong,Ou,University of Washington,Business,University of Southern California ,http://foster.uw.edu/faculty-research/directory/shaosong-ou/
Robert,Palmatier,University of Washington,Business,University of Missouri ,http://foster.uw.edu/faculty-research/directory/robert-palmatier/
