Overall Rank,School,State,Undergrad. Enrollment,Admission Rate,*SAT or ACT,Student/faculty Ratio,4-year Grad. Rate,6-year Grad. Rate,Quality Rank,Total Costs,Cost After Need-based Aid,Need Met,Aid From Grants,Cost After Non-Need-Based Aid,Non-Need-Based Aid+,Average Debt,Cost Rank
1,California Institute of Technology,CA,939,0.21,99/100%,3,0.71,0.85,10,32682,10981,1,0.93,18553,0.15,10244,4
2,Rice University,TX,2787,0.24,89/92%,5,0.68,0.89,19,28350,14779,1,0.88,22418,0.34,12705,5
3,Williams College,MA,1985,0.23,93/93%,8,0.89,0.94,1,36550,14737,1,0.89,33251,NA,12316,26
4,Swarthmore College,PA,1479,0.24,94/98%,8,0.86,0.92,4,38676,17386,1,0.85,11404,0.02,12759,21
5,Amherst College,MA,1618,0.18,94/92%,9,0.84,0.94,5,38492,14453,1,0.92,33411,NA,11544,38
6,Webb Institute,NY,67,0.42,100/100%,7,0.79,0.83,39,8079,5579,0.2,1,8079,1,5700,1
7,Yale University,CT,5339,0.08,96/97%,7,0.88,0.95,3,38432,15729,1,0.89,38432,NA,19228,53
8,Washington and Lee University,VA,1750,0.31,89/89%,11,0.86,0.89,30,30225,15452,0.99,0.87,22063,0.31,15634,9
9,Harvard University,MA,6637,0.11,90*/90*%,8,0.86,0.97,8,38831,17456,1,0.9,33201,NA,10465,46
10,Stanford University,CA,7360,0.13,93/95%,7,0.77,0.93,6,38875,17746,1,0.86,33709,NA,15782,62
11,Princeton University,NJ,4779,0.11,95/97%,5,0.91,0.97,7,40169,18325,1,0.94,40169,NA,12000,59
12,Massachusetts Institute of Technology,MA,4178,0.16,95/100%,6,0.82,0.91,2,39213,19609,1,0.85,30337,NA,22855,82
13,Pomona College,CA,1551,0.23,98/97%,9,0.83,0.88,21,38130,17411,1,0.8,35702,NA,15600,43
14,Emory University,GA,6302,0.42,89/94%,7,0.82,0.87,15,37272,19657,1,0.73,23615,0.19,17675,54
15,Columbia University,NY,4109,0.12,91/93%,7,0.83,0.93,13,39493,17778,1,0.86,39493,NA,15331,65
16,Duke University,NC,6206,0.25,91/94%,11,0.88,0.93,11,40080,19996,1,0.8,26599,0.06,20025,68
17,Davidson College,NC,1645,0.34,86/89%,10,0.89,0.91,27,34706,21455,1,0.82,28630,0.35,13697,37
18,Wellesley College,MA,2300,0.47,88/89%,9,0.84,0.88,32,37419,17526,1,0.88,32919,NA,15697,35
19,Vassar College,NY,2472,0.31,93/89%,9,0.81,0.87,22,37870,19404,1,0.78,34669,NA,17170,64
20,Haverford College,PA,1105,0.32,89/90%,8,0.89,0.92,20,38928,17826,1,0.9,38928,NA,15253,66
21,Northwestern University,IL,7946,0.33,88/92%,7,0.83,0.92,17,38817,20376,1,0.79,36538,0.12,14551,74
22,Bowdoin College,ME,1657,0.25,87/92%,10,0.83,0.9,25,38663,17773,1,0.85,37663,0.04,15307,58
23,University of Pennsylvania,PA,9742,0.21,91/96%,6,0.83,0.91,9,39040,20596,1,0.77,39040,NA,20247,93
24,Johns Hopkins University,MD,4112,0.35,85/93%,8,0.81,0.88,29,39188,19142,0.95,0.8,24206,0.09,13600,48
25,Cooper Union,NY,917,0.14,81/83%,7,0.57,0.78,61,14652,11167,0.92,0.62,14653,1,9250,3
26,Washington University,MO,7219,0.24,93/98%,7,0.75,0.86,16,39253,20700,1,0.81,30581,0.19,0,87
27,Dartmouth College,NH,4118,0.23,92/96%,9,0.87,0.95,12,38898,19546,1,0.76,36482,NA,0,92
28,Claremont McKenna College,CA,1024,0.28,89/95%,7,0.82,0.86,37,37730,17988,1,0.86,31570,0.24,16914,41
29,University of Notre Dame,IN,8261,0.34,83/91%,12,0.88,0.95,36,35392,18011,1,0.74,26304,0.05,25595,45
30,Colgate University,NY,2827,0.34,80/86%,10,0.85,0.89,31,38820,18856,1,0.85,38820,NA,12984,67
