In-State Rank 2003,In-State Rank 2002,Out-of-State Rank 2003,School,State,Enrollment,*SAT or ACT,Admission Rate,Student/Faculty Ratio,4-year Grad. Rate,6-year Grad. Rate,In-State Total Costs,In-State Costs After Aid,Total Out-of-State Costs,Out-of-State Costs After Aid,% Met by Aid,Avg. Debt at Grad.
1,1,1,University of North Carolina at Chapel Hill,NC,15961,65/76,0.35,14,0.65,0.79,11290,6673,23138,16465,1,11156
2,2,8,University of Virginia,VA,13805,77/84,0.39,16,0.81,0.91,12640,8737,28610,19873,0.92,13536
3,4,16,College of William and Mary,VA,5694,83/85,0.35,12,0.8,0.89,13024,6668,27724,21056,0.83,19762
4,6,6,University of Georgia,GA,24983,54/59,0.65,13,0.46,0.66,10534,5245,21310,16065,0.75,12906
5,9,12,University of Florida,FL,34031,58/67,0.58,21,0.49,0.77,10611,6125,21639,15514,0.85,14449
6,7,30,New College of Florida,FL,650,93/74,0.65,11,0.47,0.72,10947,5613,24185,18572,0.84,16645
7,11,25,Georgia Institute of Technology,GA,11456,75/95,0.59,14,0.18,0.69,11340,6022,23266,17244,0.67,17221
8,8,18,"University of Illinois at Urbana, Champaign",IL,28947,79,0.6,13,0.52,0.76,14410,8045,25446,17401,0.87,14791
9,23,2,Truman State University,MO,5636,82,0.79,15,0.39,0.62,10609,7604,14409,6805,0.84,14382
10,15,20,Virginia Polytechnic Institute and State University,VA,21468,39/52,0.65,15,0.36,0.72,10122,5613,20006,14393,0.64,16229
11,17,44,North Carolina State University,NC,22780,39/60,0.59,15,0.25,0.6,10688,5508,22536,17028,0.85,15476
12,14,19,University of Delaware,DE,17486,41/53,0.48,12,0.54,0.72,13416,7666,22946,15280,0.82,13610
13,12,50,"University of Wisconsin, Madison",WI,29708,86,0.71,14,0.41,0.77,13391,7842,27401,19559,NA,15904
14,5,24,"University of Michigan, Ann Arbor",MI,24472,83,0.49,15,0.61,0.82,16671,8661,33473,25463,0.9,16825
15,16,11,"University of California, San Diego",CA,19087,47/73,0.41,19,0.43,0.78,16000,9043,24105,17148,0.97,13275
16,3,9,"University of California, Berkeley",CA,23835,65/78,0.25,17,0.48,0.83,17265,8982,25584,17301,0.9,14990
17,31,43,University of Washington,WA,28362,42/54,0.68,11,0.4,0.7,13835,6926,24991,18082,0.88,14500
18,41,17,New Mexico Institute of Mining and Technology,NM,1336,75,0.63,13,0.12,0.4,9714,2708,16151,9145,0.9,9500
19,--,51,"University of Wisconsin, La Crosse",WI,8158,60,0.65,21,0.23,0.58,10425,7327,20102,12775,0.92,14306
20,29,3,University of Texas at Austin,TX,39661,51/65,0.61,19,0.39,0.71,14391,9111,20999,11888,0.94,16400
21,63,21,University of Oklahoma,OK,19570,69,0.89,21,0.19,0.51,10139,6618,16652,10034,0.88,16886
22,28,26,University of Kansas,KS,20605,55,0.67,19,0.26,0.55,9673,6266,17149,10883,0.76,17347
23,21,38,University of North Carolina at Asheville,NC,3351,48/40,0.67,14,0.31,0.48,8929,6308,17754,11446,0.84,14547
24,10,4,State University of New York at Binghamton,NY,10328,51/73,0.42,19,0.69,0.8,13587,9214,19537,10323,0.8,13915
25,47,72,Colorado School of Mines,CO,2504,89,0.67,12,0.31,0.61,13780,8532,26970,18438,1,17500
26,70,31,Auburn University,AL,19603,51,0.83,16,0.4,0.68,10276,7308,18736,11428,0.51,18585
27,49,67,Colorado State University,CO,21677,56,0.77,17,0.29,0.62,10689,6700,21161,14461,0.82,16042
28,19,5,College of New Jersey,NJ,5961,61/71,0.48,12,0.59,0.8,16686,13915,21261,7346,0.76,5490
29,61,52,Michigan State University,MI,35197,57,0.67,18,0.31,0.66,12743,8670,22703,14033,0.98,18663
30,37,39,Appalachian State University,NC,12852,26/30,0.64,19,0.31,0.6,7913,4785,16834,12049,0.79,13000
31,--,53,Iowa State University of Science and Technology,IA,22999,58,0.89,16,0.24,0.62,11588,8736,20930,12194,1,17119
32,24,7,State University of New York College at Geneseo,NY,5387,65/73,0.49,19,0.67,0.79,12840,10840,18790,7950,0.9,15000
33,51,17,Texas A&M University,TX,36775,36/49,0.68,21,0.27,0.69,11899,7057,18979,11922,0.82,15670
34,95,27,University of Texas at Dallas,TX,7961,45/59,0.53,20,0.3,0.53,12075,7787,19155,11368,0.69,NA
35,66,62,University of North Carolina at Wilmington,NC,9803,18/26,0.55,16,0.34,0.6,9715,6375,19290,12915,0.88,13583
36,30,15,"University of Maryland, College Park",MD,25179,64/77,0.43,13,0.33,0.63,16304,12223,22881,10658,0.72,15566
37,13,28,"University of California, Los Angeles",CA,24899,62/75,0.24,17,0.4,0.81,17616,9975,26006,16031,0.82,12775
38,--,32,Louisiana State University and Agricultural and Mechanical College,LA,26660,53,0.77,21,0.23,0.58,10126,7406,15426,8020,0.71,17569
39,52,58,University of Tennessee,TN,19956,49,0.58,18,0.24,0.56,11681,6706,20763,14057,0.68,21689
40,35,63,University of Iowa,IA,20487,59,0.84,15,0.34,0.64,11763,9460,22055,12595,0.88,15335
41,27,14,"Rutgers, The State University of New Jersey, New Brunswick",NJ,28070,39/55,0.55,14,0.44,0.72,16519,10044,23033,12989,0.86,15270
42,20,24,Clemson University,SC,13734,44/61,0.52,16,0.35,0.69,14618,11121,22216,11095,0.75,14347
43,36,97,University of Colorado at Boulder,CO,25158,65,0.8,16,0.38,0.64,11937,7877,28253,20376,0.75,16737
44,77,45,University of Kentucky,KY,17830,54,0.82,17,0.27,0.58,9432,5594,16112,10518,0.83,NA
45,82,40,University of Arkansas,AR,12889,59,0.86,17,0.2,0.45,10706,7144,17456,13894,0.75,14029
46,25,41,Mary Washington College,VA,4275,62/49,0.6,17,0.65,0.75,12287,9033,20035,11002,0.56,13100
47,57,34,Oklahoma State University,OK,18043,49,0.92,19,0.22,0.56,10677,7478,16623,9145,0.82,15580
48,69,59,Kansas State University,KS,19048,49,0.58,20,0.18,0.45,9626,7104,16990,9886,0.75,17000
49,91,54,University of Northern Iowa,IA,12397,39,0.8,16,0.3,0.64,10634,7632,17592,9960,0.74,15786
50,92,46,University of Mississippi,MS,10661,46,0.8,19,0.29,0.48,11257,6607,16167,9560,0.76,14459
51,38,47,James Madison University,VA,14828,33/40,0.58,17,0.59,0.78,13145,9320,21367,12047,0.54,11786
52,43,35,"University of California, Davis",CA,22661,42/62,0.63,19,0.28,0.75,16521,10334,23814,13480,0.77,13507
53,32,73,Miami University,OH,15384,84,0.77,17,0.61,0.8,15833,12467,25603,13136,0.68,17579
54,42,83,Purdue University,IN,30908,29/46,0.76,16,0.28,0.64,14691,8723,26311,17588,0.9,15677
55,99,29,Mississippi State University,MS,13373,50,0.74,16,0.19,0.48,11130,8174,16036,7862,0.72,15081
56,--,68,"University of Nebraska, Lincoln",NE,18118,55,0.9,19,0.15,0.51,10687,7277,18269,10992,0.84,15682
57,22,87,Florida State University,FL,29195,34/39,0.7,22,0.38,0.64,10994,7035,22022,14987,0.25,16372
